Type of product,Sub industry,Industry,Generic product type,Search Modifiers
"E11-Fabric refresher for linen, towels, curtains, mattresses and upholstery",Hotels,Horeca,Fabric refresher,officesupply:Air and Fabric Freshener
E13-Broad-spectrum disinfectant for spas and salons equipment,Hotels,Horeca,Disinfectant and cleaner,fine:Disinfectant; gogreen:disinfectant; officesupply:disinfectant
E14-Non-slip floor cleaner for gym floors and exercise areas,Hotels,Horeca,Floor cleaner,fine:Floor Cleaner; gogreen:floor cleaner; officesupply:floor cleaner
E14-Lubricant for maintaining machinery and weight systems,Hotels,Horeca,Surface lubricant and protectant,
"E14-Disinfectant spray for gym equipment, yoga mats and exercise mats",Hotels,Horeca,Disinfectant and cleaner,gogreen:Surface Cleaner and Disinfectant
E14-Extreme odor neutralizer,Hotels,Horeca,Odor eliminator,
E14-Body refreshing wipe with deodorizing properties,Hotels,Horeca,Cleaning wet wipes,
E14-Odor neutralizer and disinfectant spray for shoes and equipment,Hotels,Horeca,Disinfectant and cleaner,
E15-White sponge for surface cleaning,Hotels,Horeca,Sponge,
E9-Parking floor cleaner,Hotels,Horeca,Parking floor cleaner,
O1-General purpose cleaner,Healthcare,Healthcare,General purpose cleaner,
O1-Wood furniture cleaner,Healthcare,Healthcare,Furniture polish,fine:Chemicals House Keeping Wax Furniture Polish Fine Solution Prime 
O2-General hard floor cleaner,Healthcare,Healthcare,Floor cleaner,fine:Floor Cleaner
O2-Hard floor polish,Healthcare,Healthcare,Floor polish,
O2-High performance waterless carpet cleaner,Healthcare,Healthcare,Stain remover,
O2-High performance carpet shampoo,Healthcare,Healthcare,Carpet shampoo,
O2-Stain spot remover,Healthcare,Healthcare,Stain remover,
O2-Marble floor cleaner,Healthcare,Healthcare,Marble floor cleaner,
O2-Hardwood and laminate floor cleaner,Healthcare,Healthcare,Floor cleaner,
"O3-Broad-spectrum disinfectant for surfaces, mattress and touchpoints",Healthcare,Healthcare,Disinfectant and cleaner,fine:Disinfectant
O3-Surface disinfectant wet rags,Healthcare,Healthcare,Cleaning wet wipes,
O4-Heavy-duty toilet and urinal cleaner,Healthcare,Healthcare,"Toilet, shower and tile cleaner",
O4-Restroom deodorizer,Healthcare,Healthcare,Odor eliminator,
O4-Restroom air freshener,Healthcare,Healthcare,Air freshener,
O4-Shower and tile cleaner,Healthcare,Healthcare,"Toilet, shower and tile cleaner",
O4-Sewage odor control spray,Healthcare,Healthcare,Odor eliminator,
O5-Streak-free glass cleaner for large window areas,Healthcare,Healthcare,Glass cleaner,fine:Glass cleaner
O6-Degreaser for food service areas,Healthcare,Healthcare,Degreaser,
O6-Grill cleaner,Healthcare,Healthcare,Degreaser,
O6-Oven and appliance cleaner,Healthcare,Healthcare,Degreaser,
O6-Food-safe surface sanitizers,Healthcare,Healthcare,Disinfectant and cleaner,
O6-Non-slip floor cleaner for safety,Healthcare,Healthcare,Floor cleaner,fine:Floor cleaner
O6-Floor degreaser for kitchen areas,Healthcare,Healthcare,Floor cleaner,
O6-Grease trap odor treatment,Healthcare,Healthcare,Odor eliminator,
O6-Refrigerator and freezer deodorizer,Healthcare,Healthcare,Odor eliminator,
O6-Stainless steel polish for equipment and fixtures,Healthcare,Healthcare,Stainless steel cleaner,
O7-Air freshener,Healthcare,Healthcare,Air freshener,
O7-Air deodorizer,Healthcare,Healthcare,Air freshener,
O7-Odor eliminator,Healthcare,Healthcare,Odor eliminator,
O8-Stainless steel polish and cleaner for fixtures and fittings,Healthcare,Healthcare,Stainless steel cleaner,
O8-Escalator cleaner,Healthcare,Healthcare,General purpose cleaner,
O8-Escalator tread brightener,Healthcare,Healthcare,Surface lubricant and protectant,
O9-Epoxy cleaner for heavy-traffic parking lot area,Healthcare,Healthcare,Epoxy cleaner,
O10-HVAC system cleaner,Healthcare,Healthcare,Disinfectant and cleaner,
O10-HVAC system deodorizer,Healthcare,Healthcare,Odor eliminator,
O11-Stain remover for laundry,Healthcare,Healthcare,Stain remover,
"O11-Fabric refresher for linen, towels, curtains, mattresses and upholstery",Healthcare,Healthcare,Fabric refresher,
O13-White sponge for surface cleaning,Healthcare,Healthcare,Sponge,
"U1-Heavy-duty multi-surface cleaner machinery, workbenches, and industrial equipment",Industrial facilities,Industrial,General purpose cleaner,officesupply:general purpose cleaner
U1-Wood furniture cleaner,Industrial facilities,Industrial,Furniture polish,fine:Chemicals House Keeping Wax Furniture Polish Fine Solution Prime 
U2-General hard floor cleaner,Industrial facilities,Industrial,Floor cleaner,fine:Floor Cleaner; gogreen:floor cleaner; officesupply:floor cleaner
U2-Hard floor polish,Industrial facilities,Industrial,Floor polish,
U2-Marble floor cleaner,Industrial facilities,Industrial,Marble floor cleaner,
U2-Hardwood and laminate floor cleaner,Industrial facilities,Industrial,Floor cleaner,officesupply:wood floor cleaner
U2-High performance waterless carpet cleaner,Industrial facilities,Industrial,Carpet shampoo,
U2-High performance carpet shampoo,Industrial facilities,Industrial,Carpet shampoo,gogreen: carpet shampoo
U2-Stain spot remover,Industrial facilities,Industrial,Stain remover,gogreen:Dry Stain Remover
U3-Streak-free glass cleaner for large window areas,Industrial facilities,Industrial,Glass cleaner,fine:Glass cleaner; gogreen:glass cleaner; officesupply:glass cleaner
U4-Broad-spectrum disinfectants for sanitizing work areas and break rooms ,Industrial facilities,Industrial,Disinfectant and cleaner,fine:Disinfectant; gogreen:disinfectant; officesupply:disinfectant
U4-Surface disinfectant wet rags,Industrial facilities,Industrial,Cleaning wet wipes,
U5-Toilet and urinal cleaner,Industrial facilities,Industrial,"Toilet, shower and tile cleaner",officesupply:toilet cleaner
U5-Restroom deodorizer,Industrial facilities,Industrial,Odor eliminator,officesupply:Blue Drops Automatic Bowl Cleaner - Hygiene Supplies | unbranded
U5-Restroom air freshener,Industrial facilities,Industrial,Air freshener,officesupply:air freshener
U5-Shower and tile cleaner,Industrial facilities,Industrial,"Toilet, shower and tile cleaner",officesupply:bathroom cleaner
U6-Heavy-duty degreaser for machinery and equipment,Industrial facilities,Industrial,Degreaser,gogreen:Degrease and Multi-Purpose
U6-Stainless steel polish,Industrial facilities,Industrial,Stainless steel cleaner,gogreen:Box Metal and stainless-steel cleaner and polisher; officesupply:stainless steel cleaner
U7-Rubber mats and non-slip floor cleaner,Industrial facilities,Industrial,Floor cleaner,
U7-Heavy-duty floor degreasers,Industrial facilities,Industrial,Floor cleaner,
U8-Degreaser for food service areas,Industrial facilities,Industrial,Degreaser,gogreen:Degrease and Multi-Purpose; officesupply:degreaser
U8-Food-safe surface sanitizers,Industrial facilities,Industrial,Disinfectant and cleaner,gogreen:Surface Cleaner and Disinfectant; officesupply:surface sanitizer
U8-Grill cleaner,Industrial facilities,Industrial,Degreaser,officesupply:grill cleaner
U8-Oven and appliance cleaner,Industrial facilities,Industrial,Degreaser,gogreen:Oven kitchen Cleaner
U8-Kitchen odor eliminator,Industrial facilities,Industrial,Odor eliminator,
U10-Air freshener,Industrial facilities,Industrial,Air freshener,officesupply:air freshener
U10-Odor neutralizer,Industrial facilities,Industrial,Odor eliminator,
U12-Escalator cleaner,Industrial facilities,Industrial,General purpose cleaner,
U12-Escalator tread brightener,Industrial facilities,Industrial,Surface lubricant and protectant,
U13-Epoxy cleaner for heavy-traffic parking lot area,Industrial facilities,Industrial,Epoxy cleaner,
U14-HVAC system cleaner,Industrial facilities,Industrial,Disinfectant and cleaner,gogreen:Air Conditioner and Coil Cleaner 
U14-HVAC system deodorizer,Industrial facilities,Industrial,Odor eliminator,
U16-Fabric refresher,Industrial facilities,Industrial,Fabric refresher,officesupply:Air and Fabric Freshener
U17-White sponge for surface cleaning,Industrial facilities,Industrial,Sponge,
F4-FM hand soap,Facilities management,Facilities management,Hand soap,
F4-FM foam hand soap,Facilities management,Facilities management,Hand soap,
F9-FM parking floor cleaner,Facilities management,Facilities management,Parking floor cleaner,
H12-Body wash gel,Home,Households,Body wash,
F1-FM leather cleaner,Facilities management,Facilities management,Leather and vinyl cleaner,officesupply:leather cleaner
F4-FM body wash gel,Facilities management,Facilities management,Body wash,
F3-FM hand sanitizer for staff use,Facilities management,Facilities management,Hand sanitizer,
F6-FM manual dishwashing soap,Facilities management,Facilities management,Dishwashing soap,
R11-Sewage odor control,Restaurants,Horeca,Odor eliminator,
H13-Makeup brush cleanser,Home,Households,Degreaser,
