Type of product,Sub industry,Industry,Generic product type,Search Modifiers
S1-Non-slip floor cleaner for gym floors and exercise areas,Gyms,Facilities management,Floor cleaner,fine:Floor Cleaner; gogreen:floor cleaner; officesupply:floor cleaner
S1-Hard floor polish,Gyms,Facilities management,Floor polish,
S1-Hardwood and laminate floor cleaner,Gyms,Facilities management,Floor cleaner,officesupply:wood floor cleaner
S1-Marble floor cleaner,Gyms,Facilities management,Marble floor cleaner,
S1-High performance carpet shampoo,Gyms,Facilities management,Carpet shampoo,gogreen:carpet shampoo
S1-Stain spot remover,Gyms,Facilities management,Stain remover,gogreen:Dry Stain Remover
S2-Toilet bowl and urinal cleaner,Gyms,Facilities management,"Toilet, shower and tile cleaner",officesupply:toilet cleaner
S2-Mildew and mold remover for wet areas,Gyms,Facilities management,Disinfectant and cleaner,
S2-Shower and tile cleaner,Gyms,Facilities management,"Toilet, shower and tile cleaner",officesupply:bathroom cleaner
S2-Antibacterial hand soap,Gyms,Facilities management,Hand soap,gogreen:Anti-bacterial Hand Soap; officesupply:hand soap
S2-Body wash gel,Gyms,Facilities management,Body wash,
S3-Broad-spectrum disinfectant for surfaces,Gyms,Facilities management,Disinfectant and cleaner,fine:Disinfectant; gogreen:disinfectant; officesupply:disinfectant
S3-Hand sanitizer,Gyms,Facilities management,Hand sanitizer,
S3-Liquid hand sanitizer,Gyms,Facilities management,Liquid hand sanitizer,
S4-Stain remover for laundry,Gyms,Facilities management,Stain remover,gogreen:stain remover clothes
S4-Sanitizing fabric refresher for towels and sports clothes,Gyms,Facilities management,Fabric refresher,officesupply:Air and Fabric Freshener
S5-Disinfectant wipes and sprays for gym equipment,Gyms,Facilities management,Cleaning wet wipes,
S5-Upholstery cleaner for padded equipment,Gyms,Facilities management,Upholstery cleaner,
S5-Disinfectant spray for yoga mats and exercise mats,Gyms,Facilities management,Disinfectant and cleaner,
S6-Air freshener,Gyms,Facilities management,Air freshener,officesupply:air freshener
S6-Extreme odor neutralizer,Gyms,Facilities management,Odor eliminator,
S6-Sewage odor control spray,Gyms,Facilities management,Odor eliminator,
S7-HVAC system cleaner,Gyms,Facilities management,Disinfectant and cleaner,gogreen:Air Conditioner and Coil Cleaner 
S7-HVAC system deodorizer,Gyms,Facilities management,Odor eliminator,
S10-Body refreshing wipe with deodorizing properties,Gyms,Facilities management,Cleaning wet wipes,
S10-Odor neutralizer and disinfectant spray for shoes and equipment,Gyms,Facilities management,Disinfectant and cleaner,
T1-Vehicle wash shampoo,Land transportation,Transportation,Vehicle wet wash shampoo,gogreen:Car shampoo
T1-Waterless vehicle wash product,Land transportation,Transportation,Vehicle dry wash exterior cleaner,
T2-Wheel cleaner,Land transportation,Transportation,Degreaser,
T2-Wheel brightener,Land transportation,Transportation,Surface lubricant and protectant,
T3-Vehicle glass cleaner,Land transportation,Transportation,Glass cleaner,
T4-Vehicle upholstery cleaner for fabric seats,Land transportation,Transportation,Upholstery cleaner,
T4-Vehicle stain spot remover,Land transportation,Transportation,Stain remover,
T4-Vehicle leather cleaner,Land transportation,Transportation,Leather and vinyl cleaner,
T4-Vehicle leather conditioner,Land transportation,Transportation,Leather and vinyl conditioner,
T4-Vehicle dashboard and plastic protectant,Land transportation,Transportation,Surface lubricant and protectant,
T4-Vehicle surface disinfectant,Land transportation,Transportation,Disinfectant and cleaner,
T4-Vehicle surface disinfectant wet rags,Land transportation,Transportation,Cleaning wet wipes,
T4-Vehicle air freshener,Land transportation,Transportation,Air freshener,
T4-Vehicle odor eliminator,Land transportation,Transportation,Odor eliminator,
T4-Vehicle deodorizing fabric freshener for seats,Land transportation,Transportation,Fabric refresher,
T4-HVAC system freshener,Land transportation,Transportation,Air freshener,
T5-Vehicle vinyl top cleaner,Land transportation,Transportation,Leather and vinyl cleaner,
T5-Vehicle water spot remover,Land transportation,Transportation,Stain remover,
T5-Vehicle bug remover,Land transportation,Transportation,Bug remover,
T6-Heavy-duty non-slip floor cleaner,Land transportation,Transportation,Floor cleaner,fine:Floor cleaner
T6-Vehicle floor polish for hard floor,Land transportation,Transportation,Floor cleaner,
T7-Heavy-duty toilet and urinal cleaner,Land transportation,Transportation,"Toilet, shower and tile cleaner",
T7-Restroom odor urinal neutralizer,Land transportation,Transportation,Odor eliminator,
T7-Restroom air freshener,Land transportation,Transportation,Air freshener,
T9-Vehicle engine degreaser,Land transportation,Transportation,Degreaser,
T10-Food-safe surface cleaner and disinfectant,Land transportation,Transportation,Disinfectant and cleaner,gogreen:Surface Cleaner and Disinfectant
T10-Food-safe kitchen degreaser,Land transportation,Transportation,Degreaser,gogreen:Degrease and Multi-Purpose
T10-Stainless steel polisher,Land transportation,Transportation,Stainless steel cleaner,gogreen:Box Metal and stainless-steel cleaner and polisher
T11-Adhesive remover for vehicles,Land transportation,Transportation,Adhesive remover,
T11-Brush for seating cleaning,Land transportation,Transportation,Brush,
T11-White sponge for surface cleaning,Land transportation,Transportation,Sponge,
L1-General purpose cleaner,Spas and salons,Facilities management,General purpose cleaner,officesupply:general purpose cleaner
L1-Wood furniture cleaner,Spas and salons,Facilities management,Furniture polish,fine:Chemicals House Keeping Wax Furniture Polish Fine Solution Prime 
L1-General hard floor cleaner,Spas and salons,Facilities management,Floor cleaner,fine:Floor Cleaner; gogreen:floor cleaner; officesupply:floor cleaner
L1-Hard floor polish,Spas and salons,Facilities management,Floor polish,
L1-Marble floor cleaner,Spas and salons,Facilities management,Marble floor cleaner,
L1-Hardwood and laminate floor cleaner,Spas and salons,Facilities management,Floor cleaner,officesupply:wood floor cleaner
